Word,Count
called,19
initialization,19
per,19
is,19
this,19
Update,19
for,19
Use,19
once,19
frame,19
combinator,9
break;,8
=,7
Debug.Log(key);,7
first,7
case,7
maxKeys++;,7
key.ToString();,7
item,6
description,5
with,5
second,5
},3
&&,3
items,3
{,3
bear,2
must,2
battery,2
view,2
remote,2
if,2
==,2
screwdriver,2
combines,2
Y,1
K,1
IEnumerable<KeyCode>,1
E,1
reset,1
(KeyCode,1
0-1,1
(maxKeys,1
N,1
2nd,1
list(after,1
nonzero,1
I,1
foreach,1
\to,\,1
be,1
G,1
0:,1
D,1
H,1
true),1
selected,1
S,1
6:,1
gives,1
P,1
false),1
change,1
\(from,\,1
selected),1
T,1
5:,1
Z,1
4th,1
L4,1
pass,1
keys),1
key,1
L2,1
10%),1
L3,1
moving,1
access,1
7))),1
teddy,1
(firstInv,1
cheats,1
after,1
how,1
L6,1
displaying,1
combine,1
keys;,1
M,1
2:,1
F,1
fast,1
Q,1
W,1
default:,1
B,1
public,1
J,1
R,1
linearly,1
((Input.GetKeyDown(key),1
<,1
setting,1
C,1
(maxKeys),1
in,1
X,1
components,1
to,1
id's,1
you,1
3:,1
switch,1
5th,1
A,1
1st,1
(computerOn,1
checkpass,1
L5,1
interpolate,1
V,1
vector,1
L,1
3rd,1
U,1
O,1
L1,1
L7,1
1:,1
4:,1
