File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\Android.cs,54,44,27,3,8,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\AngleSign.cs,49,33,20,3,14,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\Bear.cs,57,44,29,3,11,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\BirdMove.cs,79,62,46,4,15,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\CamFollow.cs,30,16,11,1,11,0,3,18,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\CanvasToggle.cs,1801,1558,1082,310,134,1,109,196,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\ChestActivate.cs,52,36,23,3,14,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\Computer.cs,50,40,24,3,8,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\DoorOpen.cs,66,50,35,4,14,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\Laptop.cs,58,43,25,4,13,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\MsgBy2.cs,50,36,20,3,12,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\MsgBy3.cs,50,36,20,3,12,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\NoteOne.cs,50,35,20,3,13,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\NoteThree.cs,50,35,20,3,13,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\NoteTwo.cs,50,35,20,3,13,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\PlayerMovement.cs,61,45,29,3,13,1,3,21,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\Remote.cs,49,39,24,3,8,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\Rock.cs,67,52,35,4,13,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\Screwdriver.cs,51,38,23,3,11,0,2,10,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\SwitchAnglePos.cs,26,18,11,1,8,0,0,0,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\SwitchAnglePos2.cs,25,18,11,1,7,0,0,0,0,0
C:\Users\Parag\Desktop\k\Fresh\Assets\Scripts\Warp.cs,18,10,7,0,8,0,0,0,0,0
